id,reference
10001,30.1
10002,39.0
10003,17.8
10004,69.0
10005,58.2
10006,54.8
10007,50.6
10008,56.7
10009,47.1
10010,83.0
10011,57.8
10012,42.5
10013,42.3
10014,66.3
10015,30.4
10016,56.2
10017,26.4
10018,73.5
10019,36.4
10020,53.6
10021,84.6
10022,76.6
10023,50.2
10024,29.3
10025,69.2
10026,48.4
10027,61.9
10028,30.6
10029,85.8
10030,41.5
10031,71.9
10032,31.7
10033,36.1
10034,63.5
10035,64.9
10036,49.2
10037,21.4
10038,34.8
10039,37.2
10040,67.5
10041,55.4
10042,32.0
10043,82.6
10044,35.4
10045,44.3
10046,35.1
10047,38.4
10048,75.6
10049,61.6
10050,28.2
10051,23.0
10052,73.4
10053,55.5
10054,80.2
10055,66.4
10056,44.1
10057,31.5
10058,66.6
10059,47.3
10060,49.9
10061,33.5
10062,23.6
10063,55.5
10064,10.2
10065,47.4
10066,30.8
10067,61.0
10068,78.3
10069,79.2
10070,24.0
10071,22.6
10072,29.7
10073,34.2
10074,56.7
10075,49.7
10076,36.0
10077,62.1
10078,29.2
10079,74.0
10080,41.0
10081,14.0
10082,26.6
10083,34.3
10084,65.4
10085,21.0
10086,51.2
10087,-2.2
10088,53.6
10089,76.5
10090,79.0
10091,48.4
10092,29.7
10093,29.8
10094,56.4
10095,39.3
10096,75.1
10097,44.2
10098,51.7
10099,35.2
10100,45.6
10101,82.3
10102,42.7
10103,70.2
10104,81.8
10105,51.2
10106,28.6
10107,65.8
10108,24.5
10109,83.2
10110,48.8
10111,24.1
10112,37.9
10113,29.0
10114,40.4
10115,72.1
10116,59.5
10117,27.8
10118,25.8
10119,12.9
10120,51.3
10121,69.0
10122,19.7
10123,48.1
10124,76.5
10125,27.1
10126,28.4
10127,84.7
10128,39.0
10129,32.0
10130,47.8
10131,19.0
10132,34.5
10133,25.9
10134,24.1
10135,44.1
10136,56.7
10137,49.1
10138,33.3
10139,34.7
10140,24.3
10141,69.4
10142,29.9
10143,59.5
10144,68.4
10145,18.0
10146,18.4
10147,46.7
10148,72.7
10149,38.7
10150,83.8
10151,20.4
10152,73.6
10153,30.6
10154,71.5
10155,45.4
10156,69.0
10157,83.0
10158,81.7
10159,61.0
10160,27.9
10161,84.6
10162,39.1
10163,28.8
10164,46.4
10165,18.3
10166,47.0
10167,83.1
10168,35.1
10169,24.8
