id,reference
10001,29.0
10002,38.7
10003,22.0
10004,70.1
10005,59.5
10006,52.6
10007,55.6
10008,60.5
10009,41.6
10010,84.6
10011,57.2
10012,44.9
10013,38.6
10014,65.3
10015,32.7
10016,58.9
10017,23.5
10018,73.4
10019,37.0
10020,56.9
10021,83.3
10022,79.5
10023,54.9
10024,24.9
10025,66.1
10026,51.5
10027,63.0
10028,29.5
10029,87.2
10030,37.1
10031,72.9
10032,31.8
10033,31.7
10034,65.1
10035,68.0
10036,47.9
10037,11.9
10038,27.1
10039,34.4
10040,73.7
10041,56.7
10042,32.2
10043,90.1
10044,27.7
10045,42.0
10046,40.5
10047,41.7
10048,76.8
10049,60.6
10050,26.9
10051,22.3
10052,79.9
10053,53.8
10054,83.2
10055,68.4
10056,44.4
10057,23.6
10058,61.3
10059,49.8
10060,55.9
10061,31.4
10062,7.8
10063,55.8
10064,3.7
10065,48.3
10066,24.0
10067,58.0
10068,77.2
10069,84.8
10070,20.8
10071,22.7
10072,27.3
10073,37.2
10074,56.7
10075,51.0
10076,30.9
10077,68.9
10078,31.0
10079,74.1
10080,39.1
10081,9.4
10082,16.9
10083,32.9
10084,67.3
10085,12.6
10086,55.3
10087,-8.6
10088,54.9
10089,75.4
10090,83.1
10091,48.5
10092,25.6
10093,30.5
10094,62.1
10095,42.7
10096,77.8
10097,47.9
10098,49.5
10099,38.9
10100,44.8
10101,82.3
10102,41.3
10103,64.3
10104,79.7
10105,53.3
10106,25.2
10107,66.6
10108,21.7
10109,84.1
10110,52.1
10111,29.5
10112,34.7
10113,34.8
10114,40.4
10115,73.9
10116,61.7
10117,22.2
10118,25.8
10119,10.7
10120,50.2
10121,70.1
10122,23.0
10123,54.0
10124,78.2
10125,30.0
10126,27.8
10127,82.0
10128,38.1
10129,22.6
10130,47.0
10131,7.4
10132,32.2
10133,25.3
10134,20.4
10135,42.3
10136,57.8
10137,45.0
10138,27.6
10139,39.4
10140,27.4
10141,69.3
10142,31.4
10143,59.0
10144,68.4
10145,9.5
10146,10.8
10147,49.2
10148,75.9
10149,35.4
10150,83.3
10151,8.6
10152,72.5
10153,32.2
10154,76.3
10155,45.7
10156,68.1
10157,84.4
10158,83.2
10159,61.0
10160,26.4
10161,88.3
10162,35.7
10163,28.3
10164,42.3
10165,9.8
10166,46.9
10167,84.4
10168,26.7
10169,11.1
10170,31.1
10171,61.5
10172,7.9
10173,68.0
10174,33.2
10175,24.1
10176,52.1
10177,18.0
10178,72.3
10179,51.4
10180,52.9
10181,71.3
10182,51.9
10183,30.7
10184,86.1
10185,60.5
10186,23.9
10187,66.0
10188,30.7
10189,55.3
10190,22.1
10191,63.4
10192,50.8
10193,6.3
10194,32.8
10195,-8.0
10196,54.4
10197,64.5
10198,12.1
10199,44.1
10200,46.6
10201,39.7
10202,68.7
10203,31.3
10204,48.3
10205,53.1
10206,70.3
10207,73.9
10208,24.3
10209,54.4
10210,31.9
10211,42.6
10212,20.2
10213,40.0
10214,14.4
10215,42.0
10216,57.1
10217,14.1
10218,18.4
10219,83.8
10220,44.9
10221,7.1
10222,70.9
10223,62.6
10224,14.5
10225,50.1
10226,77.3
10227,65.6
10228,46.7
10229,7.5
10230,70.6
10231,77.0
10232,83.4
10233,43.5
10234,74.9
10235,45.5
10236,-2.8
10237,83.0
10238,71.0
10239,24.2
10240,24.2
10241,54.5
10242,81.9
10243,30.5
10244,63.8
10245,27.2
10246,50.4
10247,46.7
10248,47.2
10249,81.2
10250,64.8
10251,45.6
10252,36.5
10253,50.7
10254,58.4
10255,49.1
10256,12.4
10257,41.1
10258,69.8
10259,84.2
10260,74.5
10261,76.8
10262,64.8
10263,22.2
10264,44.7
10265,37.3
10266,0.9
10267,29.1
10268,25.8
10269,44.7
10270,44.5
10271,46.5
10272,70.8
10273,24.6
10274,20.5
10275,8.2
10276,49.1
10277,49.8
10278,70.1
10279,32.5
10280,65.5
10281,65.3
10282,67.9
10283,21.3
10284,32.6
10285,27.9
10286,38.0
10287,53.4
10288,74.3
10289,73.8
10290,39.0
10291,69.0
10292,28.7
10293,7.0
10294,53.5
10295,58.9
10296,47.3
10297,29.9
10298,51.7
10299,30.4
10300,19.9
10301,58.9
10302,76.7
10303,33.1
10304,54.0
10305,67.9
10306,75.4
10307,10.0
10308,93.4
10309,83.7
10310,35.9
10311,82.4
10312,45.3
10313,49.8
10314,5.6
10315,62.9
10316,80.4
10317,72.6
10318,30.7
10319,64.4
10320,82.2
10321,63.7
10322,18.5
10323,23.8
10324,39.6
10325,64.2
10326,57.9
10327,43.8
10328,48.9
10329,75.3
10330,42.9
10331,86.3
10332,45.7
10333,15.3
10334,36.0
10335,64.7
10336,60.0
10337,25.6
10338,35.5
10339,31.6
10340,65.2
10341,64.7
10342,72.3
10343,17.8
10344,55.0
10345,80.7
10346,42.2
10347,25.6
10348,50.7
10349,16.2
10350,30.5
10351,76.2
10352,70.8
10353,65.2
10354,63.3
10355,31.0
10356,18.5
10357,27.1
10358,66.9
10359,49.3
10360,16.5
10361,56.9
10362,31.5
10363,74.5
10364,37.1
10365,44.8
10366,32.8
10367,39.1
10368,27.1
10369,46.0
10370,75.6
10371,40.0
10372,9.9
10373,41.0
10374,60.7
10375,71.9
10376,24.6
10377,52.7
10378,59.3
10379,19.1
10380,50.2
10381,37.3
10382,36.7
10383,67.4
10384,10.9
10385,36.3
10386,79.2
10387,0.7
10388,27.4
10389,76.2
10390,46.4
10391,74.3
10392,12.6
10393,32.7
10394,50.6
10395,67.4
10396,66.6
10397,83.3
10398,74.7
10399,23.3
10400,34.8
10401,38.5
10402,19.2
10403,29.3
10404,87.1
10405,24.2
10406,81.5
10407,87.8
10408,30.3
10409,67.1
10410,22.9
10411,76.9
10412,38.7
10413,60.7
10414,42.0
10415,25.9
10416,19.2
10417,47.7
10418,35.3
10419,29.1
10420,45.7
10421,77.4
10422,29.6
10423,39.9
10424,38.3
10425,61.7
10426,42.8
10427,56.4
10428,34.8
10429,72.2
10430,63.6
10431,51.3
10432,24.0
10433,18.1
10434,14.1
10435,73.4
10436,38.6
10437,78.3
10438,22.9
10439,78.9
10440,59.5
10441,38.1
10442,21.8
10443,38.2
10444,41.9
10445,83.2
10446,65.4
10447,25.8
10448,70.4
10449,85.5
10450,47.6
10451,25.9
10452,36.4
10453,40.3
10454,77.1
10455,80.9
10456,14.5
10457,62.3
10458,49.1
10459,52.5
10460,33.1
10461,74.4
10462,47.1
10463,45.3
10464,41.5
10465,28.7
10466,64.7
10467,42.0
10468,49.7
10469,40.1
10470,85.3
10471,64.4
10472,61.0
10473,36.4
10474,50.6
10475,52.2
10476,58.9
10477,73.9
10478,38.3
10479,46.2
10480,47.1
10481,56.1
10482,9.4
10483,29.4
10484,60.7
10485,61.0
10486,75.6
10487,19.4
10488,38.8
10489,63.6
10490,71.4
10491,30.9
10492,21.0
10493,68.9
10494,25.5
10495,41.2
