id,reference
10001,27.3
10002,37.6
10003,22.0
10004,70.1
10005,59.3
10006,52.2
10007,55.4
10008,60.3
10009,39.7
10010,83.0
10011,56.0
10012,43.2
10013,38.4
10014,64.9
10015,31.1
10016,60.5
10017,21.3
10018,72.9
10019,34.9
10020,56.9
10021,81.6
10022,78.1
10023,54.6
10024,23.6
10025,65.9
10026,50.8
10027,62.6
10028,27.5
10029,85.6
10030,34.2
10031,71.4
10032,32.0
10033,29.5
10034,64.4
10035,67.6
10036,47.3
10037,12.2
10038,26.5
10039,32.5
10040,73.6
10041,56.4
10042,30.8
10043,89.9
10044,26.9
10045,41.8
10046,41.0
10047,39.9
10048,75.5
10049,60.8
10050,26.6
10051,20.2
10052,78.4
10053,53.9
10054,81.8
10055,66.9
10056,44.3
10057,23.0
10058,58.9
10059,49.6
10060,55.7
10061,31.0
10062,7.8
10063,55.4
10064,4.0
10065,48.4
10066,21.0
10067,56.9
10068,75.7
10069,84.8
10070,20.6
10071,21.1
10072,25.3
10073,36.0
10074,56.4
10075,51.2
10076,30.1
10077,68.6
10078,29.4
10079,72.5
10080,39.1
10081,9.5
10082,15.9
10083,32.8
10084,67.7
10085,12.3
10086,55.4
10087,-9.9
10088,54.7
10089,73.6
10090,81.6
10091,48.0
10092,25.6
10093,29.0
10094,64.1
10095,42.5
10096,77.5
10097,47.9
10098,48.5
10099,38.2
10100,46.3
10101,80.7
10102,39.4
10103,62.0
10104,78.2
10105,54.3
10106,26.4
10107,66.2
10108,21.7
10109,82.4
10110,52.0
10111,30.7
10112,33.4
10113,32.8
10114,40.6
10115,72.0
10116,61.2
10117,21.5
10118,25.1
10119,10.7
10120,49.8
10121,68.6
10122,22.9
10123,54.0
10124,77.9
10125,28.9
10126,25.2
10127,80.4
10128,36.4
10129,21.9
10130,46.9
10131,7.0
10132,32.2
10133,23.5
10134,19.0
10135,42.1
10136,57.8
10137,46.2
10138,27.3
10139,39.2
10140,25.9
10141,69.0
10142,31.3
10143,57.5
10144,68.4
10145,9.2
10146,10.7
10147,48.9
10148,75.7
10149,33.9
10150,83.1
10151,8.3
10152,72.4
10153,30.8
10154,76.4
10155,45.6
10156,66.0
10157,82.8
10158,81.7
10159,59.7
10160,24.8
10161,86.9
10162,33.6
10163,27.0
10164,41.8
10165,9.1
10166,46.7
10167,82.8
10168,24.3
10169,9.2
10170,30.9
10171,59.9
10172,5.9
10173,67.6
10174,34.5
10175,23.9
10176,50.7
10177,17.3
10178,72.0
10179,51.9
10180,54.3
10181,71.0
10182,51.9
10183,28.9
10184,84.6
10185,60.0
10186,22.4
10187,64.5
10188,29.1
10189,54.9
10190,21.6
10191,63.0
10192,50.8
10193,6.0
10194,31.3
10195,-8.9
10196,54.0
10197,64.1
10198,13.5
10199,43.5
10200,46.1
10201,37.0
10202,67.5
10203,28.9
10204,48.1
10205,51.6
10206,70.1
10207,73.8
10208,23.6
10209,55.7
10210,31.8
10211,42.4
10212,19.3
10213,39.6
10214,15.5
10215,42.0
10216,56.8
10217,12.2
10218,16.5
10219,83.8
10220,44.4
10221,7.0
10222,70.5
10223,62.2
10224,14.6
10225,48.5
10226,75.5
10227,65.2
10228,46.7
10229,6.6
10230,68.9
10231,76.9
10232,81.6
10233,43.4
10234,73.0
10235,43.8
10236,-2.7
10237,81.4
10238,69.5
10239,22.8
10240,24.7
10241,55.7
10242,80.0
10243,28.8
10244,63.6
10245,25.7
10246,50.3
10247,46.7
10248,47.0
10249,81.1
10250,64.5
10251,43.9
10252,37.3
10253,50.6
