id,reference
10001,35.8
10002,45.8
10003,20.9
10004,65.0
10005,57.9
10006,55.5
10007,48.3
10008,58.2
10009,49.3
10010,76.6
10011,58.9
10012,44.9
10013,46.0
10014,63.9
10015,34.1
10016,50.9
10017,33.8
10018,70.3
10019,43.5
10020,53.1
10021,79.4
10022,72.2
10023,51.6
10024,37.6
10025,69.0
10026,48.6
10027,56.3
10028,31.8
10029,79.9
10030,51.2
10031,68.0
10032,35.3
10033,42.7
10034,63.6
10035,65.3
10036,48.0
10037,18.5
10038,29.0
10039,43.7
10040,67.5
10041,54.2
10042,38.2
10043,74.7
10044,29.8
10045,50.9
10046,42.2
10047,42.0
10048,73.3
10049,59.4
10050,14.5
10051,32.3
10052,71.5
10053,56.0
10054,75.1
10055,70.9
10056,45.6
10057,25.6
10058,65.3
10059,54.2
10060,51.5
10061,40.0
10062,20.4
10063,56.2
10064,7.8
10065,50.9
10066,32.0
10067,62.6
10068,79.0
10069,73.4
10070,35.6
10071,24.7
10072,37.4
10073,37.2
10074,58.6
10075,53.3
10076,20.2
10077,60.4
10078,38.9
10079,71.3
10080,45.8
10081,7.7
10082,23.8
10083,38.0
10084,67.4
10085,15.7
10086,51.5
10087,15.3
10088,54.0
10089,75.0
10090,76.4
10091,46.5
10092,39.0
10093,33.9
10094,53.7
10095,43.0
10096,73.1
10097,43.1
10098,49.5
10099,40.4
10100,44.6
10101,78.3
10102,48.1
10103,69.8
10104,80.7
10105,46.5
10106,23.6
10107,61.9
10108,15.4
10109,78.1
10110,50.0
10111,28.6
10112,43.9
10113,36.3
10114,38.9
10115,67.6
10116,57.6
10117,18.8
10118,21.5
10119,7.4
10120,52.3
10121,72.8
10122,22.2
10123,47.8
10124,73.8
10125,33.2
10126,35.9
10127,82.1
10128,43.4
10129,26.8
10130,51.4
10131,10.2
10132,40.3
10133,36.3
10134,28.5
10135,43.3
10136,57.4
10137,47.2
10138,36.5
10139,39.7
10140,28.3
10141,66.8
10142,35.7
10143,59.8
10144,67.5
10145,19.7
10146,15.2
10147,45.8
10148,68.6
10149,44.0
10150,80.3
10151,17.0
10152,72.0
10153,36.6
10154,74.0
10155,53.1
10156,69.3
10157,79.1
10158,77.9
10159,60.8
10160,30.5
10161,84.0
10162,42.3
10163,28.5
10164,47.6
10165,12.9
10166,50.8
10167,79.2
10168,43.0
10169,19.6
10170,31.8
10171,60.9
10172,27.2
10173,68.0
10174,36.3
10175,25.3
10176,56.0
10177,17.9
10178,72.7
10179,50.3
10180,44.3
10181,57.8
10182,56.5
10183,34.7
10184,80.4
10185,61.8
10186,36.0
10187,69.2
10188,36.3
10189,52.4
10190,23.7
10191,60.4
10192,54.4
10193,17.4
10194,35.5
10195,-5.5
10196,57.0
10197,64.4
10198,10.3
10199,45.6
10200,50.3
10201,48.5
10202,63.2
10203,47.3
10204,50.7
10205,58.1
10206,70.5
10207,71.3
10208,21.2
10209,42.4
