id,reference
10001,36.0
10002,43.4
10003,25.3
10004,69.7
10005,61.3
10006,54.1
10007,56.0
10008,59.9
10009,46.5
10010,84.3
10011,59.8
10012,48.8
10013,42.1
10014,65.5
10015,37.1
10016,54.9
10017,31.0
10018,71.0
10019,41.2
10020,56.0
10021,85.7
10022,81.4
10023,55.7
10024,29.2
10025,66.8
10026,52.3
10027,61.3
10028,35.0
10029,89.0
10030,42.8
10031,74.7
10032,36.5
10033,37.6
10034,64.7
10035,67.4
10036,48.3
10037,12.9
10038,21.6
10039,38.5
10040,72.6
10041,57.1
10042,38.3
10043,87.0
10044,24.6
10045,43.7
10046,40.8
10047,47.6
10048,79.5
10049,63.7
10050,19.2
10051,30.7
10052,80.9
10053,56.5
10054,83.9
10055,71.9
10056,45.7
10057,20.0
10058,66.8
10059,52.2
10060,55.2
10061,36.3
10062,7.8
10063,55.1
10064,-1.3
10065,51.8
10066,33.2
10067,60.6
10068,81.2
10069,84.4
10070,27.3
10071,25.6
10072,35.2
10073,40.9
10074,58.2
10075,49.9
10076,24.6
10077,66.8
10078,34.7
10079,75.9
10080,41.9
10081,8.5
10082,19.6
10083,35.8
10084,66.9
10085,15.3
10086,53.8
10087,-0.1
10088,55.4
10089,78.0
10090,85.5
10091,49.6
10092,32.7
10093,34.8
10094,56.6
10095,43.3
10096,78.8
10097,47.5
10098,49.9
10099,38.3
10100,41.4
10101,84.1
10102,44.6
10103,68.7
10104,82.4
10105,47.3
10106,28.2
10107,66.5
10108,17.7
10109,85.9
10110,52.1
10111,25.4
10112,39.2
10113,38.7
10114,44.7
10115,72.5
10116,60.4
10117,16.7
10118,28.3
10119,11.3
10120,51.7
10121,74.0
10122,26.5
10123,53.6
10124,78.0
10125,30.2
10126,33.3
10127,84.4
10128,43.6
10129,18.7
10130,49.6
10131,4.9
10132,35.8
10133,31.4
10134,27.4
10135,45.9
10136,58.1
10137,43.1
10138,32.3
10139,40.2
10140,33.2
10141,69.5
10142,33.0
10143,61.3
10144,67.6
10145,13.0
10146,7.4
10147,46.1
10148,74.7
10149,40.3
10150,85.0
10151,9.2
10152,73.7
10153,37.2
10154,76.4
10155,49.0
10156,70.6
10157,85.2
10158,84.6
10159,63.7
10160,31.8
10161,90.2
10162,43.8
10163,30.5
10164,44.2
10165,8.0
10166,48.7
10167,85.9
10168,32.8
10169,11.2
10170,33.2
10171,65.2
10172,17.1
10173,66.3
10174,31.2
10175,27.5
10176,54.3
10177,12.2
10178,72.3
10179,52.4
10180,45.8
10181,70.3
10182,56.2
10183,35.9
10184,87.7
10185,61.9
10186,29.5
10187,69.6
10188,36.6
10189,56.7
10190,18.2
10191,61.8
10192,51.7
10193,11.0
10194,36.6
10195,-2.6
10196,55.7
10197,64.4
10198,6.7
10199,47.0
10200,48.3
10201,45.9
10202,71.1
10203,36.2
10204,50.6
10205,56.7
10206,71.0
10207,74.5
10208,19.4
10209,46.9
10210,34.4
10211,45.3
10212,11.7
10213,42.5
10214,11.9
10215,45.6
10216,61.2
10217,22.4
10218,24.9
10219,83.6
10220,48.2
10221,5.1
10222,70.7
10223,62.4
10224,12.4
10225,53.9
10226,79.2
10227,65.8
10228,47.5
10229,9.1
10230,74.8
10231,76.8
10232,85.6
10233,45.3
10234,77.1
10235,49.8
10236,-1.2
10237,84.9
10238,73.0
10239,29.3
10240,26.7
10241,47.4
10242,84.7
10243,36.3
10244,62.3
10245,32.8
10246,50.2
10247,47.0
10248,47.9
10249,82.2
10250,64.4
10251,48.5
10252,36.3
10253,52.2
10254,56.2
10255,50.6
10256,19.0
10257,46.7
10258,73.4
10259,86.1
10260,75.4
10261,78.4
10262,66.4
10263,18.0
10264,44.0
10265,41.6
10266,4.9
10267,33.7
10268,34.2
10269,48.4
10270,48.1
10271,45.2
10272,71.1
10273,28.2
