id,reference
10001,36.0
10002,44.4
10003,25.0
10004,70.3
10005,61.3
10006,53.9
10007,56.1
10008,60.0
10009,45.5
10010,84.6
10011,60.3
10012,48.9
10013,41.7
10014,65.4
10015,37.4
10016,55.4
10017,30.4
10018,70.7
10019,41.6
10020,56.6
10021,85.6
10022,81.6
10023,55.8
10024,29.0
10025,66.7
10026,52.0
10027,60.8
10028,35.0
10029,88.7
10030,42.9
10031,74.5
10032,37.7
10033,36.8
10034,64.6
10035,67.6
10036,47.0
10037,12.8
10038,21.9
10039,38.9
10040,73.4
10041,56.1
10042,38.6
10043,87.4
10044,24.9
10045,43.3
10046,44.0
10047,47.3
10048,79.6
10049,63.2
10050,20.7
10051,29.9
10052,81.4
10053,55.6
10054,84.1
10055,72.5
10056,45.6
10057,19.2
10058,65.5
10059,52.8
10060,55.5
10061,34.8
10062,7.3
10063,54.8
10064,-0.2
10065,51.0
10066,31.5
10067,61.1
10068,81.2
10069,84.2
10070,27.1
10071,25.7
10072,34.6
10073,41.2
10074,58.2
10075,51.0
10076,24.4
10077,67.4
10078,35.4
10079,76.0
10080,41.8
10081,9.2
10082,18.3
10083,35.6
10084,68.2
10085,15.1
10086,54.4
10087,1.0
10088,55.3
10089,77.8
10090,85.6
10091,49.0
10092,31.4
10093,34.9
10094,57.7
10095,43.7
10096,78.6
10097,48.1
10098,48.8
10099,38.7
10100,41.7
10101,84.0
10102,44.3
10103,68.1
10104,82.7
10105,47.4
10106,28.1
10107,66.1
10108,18.7
10109,85.5
10110,52.2
10111,26.0
10112,39.5
10113,39.8
10114,43.9
10115,74.1
10116,59.7
10117,16.6
10118,26.7
10119,12.1
10120,51.3
10121,74.3
10122,25.9
10123,54.2
10124,77.9
10125,32.8
10126,32.8
10127,84.5
10128,43.5
10129,18.6
10130,49.0
10131,4.0
10132,35.7
10133,31.5
10134,26.7
10135,45.2
10136,58.5
10137,42.7
10138,31.7
10139,40.8
10140,33.9
10141,69.6
10142,33.4
10143,61.6
10144,67.8
10145,12.5
10146,7.2
10147,46.4
10148,74.4
10149,39.9
10150,84.2
10151,9.5
10152,73.2
10153,37.8
10154,76.9
10155,49.3
10156,70.8
10157,85.5
10158,84.7
10159,63.8
10160,32.1
10161,90.6
10162,42.4
10163,31.0
10164,43.5
10165,7.5
10166,48.4
10167,85.9
10168,31.6
10169,13.4
10170,33.6
10171,65.0
10172,16.5
10173,66.2
10174,31.7
10175,27.6
10176,54.8
10177,12.4
10178,72.0
10179,53.0
10180,46.5
10181,70.4
10182,55.5
10183,35.5
10184,87.7
10185,61.3
10186,29.1
10187,70.0
10188,36.2
10189,56.9
10190,18.6
10191,61.7
10192,52.2
10193,9.8
10194,36.6
10195,-4.2
10196,55.4
10197,63.8
10198,10.2
10199,45.9
10200,47.9
10201,45.4
10202,71.3
10203,34.8
10204,50.3
10205,56.7
10206,71.1
10207,74.6
10208,19.3
10209,47.6
10210,34.6
10211,44.9
10212,15.5
10213,41.6
10214,13.9
10215,45.2
10216,59.9
10217,22.2
10218,24.5
10219,83.3
10220,47.8
10221,6.4
10222,70.6
10223,62.0
10224,13.1
10225,53.7
10226,79.4
10227,65.6
10228,48.4
10229,7.9
10230,74.9
10231,76.7
10232,85.7
10233,45.4
10234,77.2
10235,49.6
10236,-1.3
10237,85.2
10238,73.4
10239,28.9
10240,26.2
10241,47.7
10242,84.3
10243,36.0
10244,62.9
10245,32.4
10246,50.0
10247,48.0
10248,47.2
10249,81.2
10250,65.2
10251,48.4
10252,39.0
10253,52.2
10254,56.4
10255,50.4
10256,17.5
10257,45.4
10258,73.4
10259,86.4
10260,75.8
10261,78.5
10262,66.3
10263,16.9
10264,44.4
10265,41.0
10266,3.8
10267,34.0
10268,33.4
10269,47.8
10270,48.0
10271,45.3
10272,70.5
10273,27.6
10274,24.4
10275,9.9
10276,50.1
10277,49.2
10278,72.9
10279,38.4
10280,63.2
10281,62.5
10282,67.4
10283,27.9
10284,38.0
10285,33.1
10286,43.3
10287,49.9
10288,78.2
10289,74.7
10290,43.2
10291,71.2
10292,24.4
10293,8.1
10294,54.7
10295,55.2
10296,51.4
10297,35.4
10298,52.5
10299,35.8
10300,27.5
10301,59.1
10302,80.8
10303,38.4
10304,54.3
10305,67.7
10306,79.0
10307,9.6
10308,91.3
10309,85.8
10310,34.3
10311,82.7
10312,46.9
10313,52.6
10314,8.3
10315,61.0
10316,83.9
10317,72.5
10318,32.9
10319,64.6
10320,81.5
10321,64.6
10322,24.9
10323,27.5
10324,45.2
10325,65.5
10326,58.6
10327,46.3
10328,51.2
10329,74.6
10330,44.1
10331,86.8
10332,45.5
10333,22.7
10334,41.4
10335,64.3
10336,59.8
10337,30.3
10338,29.8
10339,34.4
10340,64.8
10341,67.9
10342,76.0
10343,26.3
10344,56.6
10345,83.1
10346,46.9
10347,31.0
10348,45.6
10349,18.9
10350,29.3
10351,76.2
10352,73.3
10353,67.6
10354,64.1
10355,34.2
10356,17.9
10357,23.2
10358,68.8
10359,53.9
10360,22.8
10361,53.4
10362,36.1
10363,77.7
10364,43.5
10365,49.9
10366,37.4
10367,40.6
10368,23.7
10369,47.0
10370,75.0
10371,43.7
10372,10.2
10373,46.3
10374,64.7
10375,74.1
10376,34.4
10377,54.3
10378,60.0
